Key,Array
24,"3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0"
25,"2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0"
26,"3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0"
27,"1.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,4.0,2.0,4.0"
28,"4.0,1.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,7.0,3.0,3.0,2.0,1.0,5.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,6.0,4.0,1.0,2.0,6.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0"
29,"3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0"
30,"3.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0"
31,"2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0"
32,"2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0"
33,"2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0"
34,"2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0"
35,"3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,5.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0"
36,"2.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0"
37,"3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0"
38,"2.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0"
39,"2.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0"
